# r(kpc)                A2_0                    zh2                    phase2   A4_0                    zh4                    phase4   A6_0                     zh6                    phase6  
  1.1                   0.02529136847313671     0.545                  0.0      0.002088074685204005    0.52                   0.0      3.528557760574778E-4     0.545                  0.0     
  1.11                  0.02538068572785108     0.5495000000000001     0.0      0.0021281751929016924   0.5245000000000001     0.0      3.639840022115028E-4     0.5495000000000001     0.0     
  1.12                  0.025468569450107375    0.5540000000000002     0.0      0.0021684848941235253   0.5290000000000001     0.0      3.75307324037845E-4      0.5540000000000002     0.0     
  1.1300000000000001    0.025555032057716014    0.5585000000000001     0.0      0.0022089965080715653   0.5335000000000001     0.0      3.868250225279836E-4     0.5585000000000001     0.0     
  1.1400000000000001    0.025640085815169477    0.5630000000000002     0.0      0.002249702739627985    0.5380000000000001     0.0      3.9853628752935347E-4    0.5630000000000002     0.0     
  1.1500000000000001    0.025723742837203075    0.5675000000000001     0.0      0.0022905962818636962   0.5425000000000001     0.0      4.10440218345994E-4      0.5675000000000001     0.0     
  1.16                  0.025806015092234187    0.5720000000000001     0.0      0.002331669818498404    0.547                  0.0      4.225358243922307E-4     0.5720000000000001     0.0     
  1.17                  0.02588691440568504     0.5765                 0.0      0.002372916026312495    0.5515                 0.0      4.348220258979797E-4     0.5765                 0.0     
  1.18                  0.02596645246319415     0.5810000000000001     0.0      0.002414327577511301    0.556                  0.0      4.4729765466428853E-4    0.5810000000000001     0.0     
  1.19                  0.026044640813721102    0.5855                 0.0      0.0024558971420421735   0.5605                 0.0      4.5996145486770453E-4    0.5855                 0.0     
  1.2                   0.026121490872549103    0.5900000000000001     0.0      0.002497617389864857    0.5650000000000001     0.0      4.728120839120599E-4     0.5900000000000001     0.0     
  1.21                  0.02619701392418981     0.5945                 0.0      0.002539480993175668    0.5695                 0.0      4.858481133262786E-4     0.5945                 0.0     
  1.22                  0.02627122112519408     0.5990000000000001     0.0      0.002581480628585889    0.5740000000000001     0.0      4.990680297067744E-4     0.5990000000000001     0.0     
  1.23                  0.026344123506872874    0.6035                 0.0      0.0026236089792549297   0.5785                 0.0      5.124702357030514E-4     0.6035                 0.0     
  1.24                  0.026415731977931792    0.6080000000000001     0.0      0.0026658587369786852   0.5830000000000001     0.0      5.260530510450901E-4     0.6080000000000001     0.0     
  1.25                  0.026486057327022614    0.6125                 0.0      0.0027082226042335696   0.5875                 0.0      5.398147136111117E-4     0.6125                 0.0     
  1.26                  0.026555110225215596    0.6170000000000001     0.0      0.0027506932961767466   0.5920000000000001     0.0      5.537533805343373E-4     0.6170000000000001     0.0     
  1.27                  0.02662290122839502     0.6215                 0.0      0.002793263542602973    0.5965                 0.0      5.678671293473239E-4     0.6215                 0.0     
  1.28                  0.026689440779581627    0.6260000000000001     0.0      0.0028359260898585606   0.6010000000000001     0.0      5.821539591625036E-4     0.6260000000000001     0.0     
  1.29                  0.02675473921118434     0.6305000000000001     0.0      0.002878673702712934    0.6055                 0.0      5.966117918875367E-4     0.6305000000000001     0.0     
  1.3                   0.02681880674718437     0.6350000000000001     0.0      0.0029214991661882556   0.6100000000000001     0.0      6.112384734741057E-4     0.6350000000000001     0.0     
  1.31                  0.026881653505253966    0.6395000000000001     0.0      0.002964395287347572    0.6145                 0.0      6.260317751987779E-4     0.6395000000000001     0.0     
  1.32                  0.026943289498812494    0.6440000000000001     0.0      0.003007354897041959    0.6190000000000001     0.0      6.409893949745806E-4     0.6440000000000001     0.0     
  1.33                  0.027003724639022307    0.6485000000000001     0.0      0.0030503708516171797   0.6235                 0.0      6.561089586919513E-4     0.6485000000000001     0.0     
  1.34                  0.027062968736726346    0.6530000000000001     0.0      0.003093436034580241    0.6280000000000001     0.0      6.713880215876985E-4     0.6530000000000001     0.0     
  1.35                  0.027121031504329932    0.6575000000000001     0.0      0.003136543358226378    0.6325000000000001     0.0      6.868240696406738E-4     0.6575000000000001     0.0     
  1.36                  0.027177922557628704    0.6620000000000001     0.0      0.003179685765226921    0.6370000000000001     0.0      7.024145209928271E-4     0.6620000000000001     0.0     
  1.37                  0.02723365141758453     0.6665000000000001     0.0      0.003222856230178467    0.6415000000000001     0.0      7.181567273943324E-4     0.6665000000000001     0.0     
  1.3800000000000001    0.02728822751205169     0.6710000000000002     0.0      0.003266047761113896    0.6460000000000001     0.0      7.340479756715245E-4     0.6710000000000002     0.0     
  1.3900000000000001    0.027341660177454576    0.6755000000000001     0.0      0.0033092534009756063   0.6505000000000001     0.0      7.500854892163363E-4     0.6755000000000001     0.0     
  1.4000000000000001    0.027393958660419118    0.6800000000000002     0.0      0.003352466229051478    0.6550000000000001     0.0      7.662664294959935E-4     0.6800000000000002     0.0     
  1.41                  0.027445132119359266    0.6845                 0.0      0.003395679362374008    0.6595                 0.0      7.825878975817182E-4     0.6845                 0.0     
  1.42                  0.027495189626020287    0.6890000000000001     0.0      0.00343888595708306     0.664                  0.0      7.990469356952006E-4     0.6890000000000001     0.0     
  1.43                  0.027544140166980327    0.6935                 0.0      0.0034820792097526995   0.6685                 0.0      8.156405287716336E-4     0.6935                 0.0     
  1.44                  0.027591992645111734    0.6980000000000001     0.0      0.003525252358682549    0.673                  0.0      8.323656060380992E-4     0.6980000000000001     0.0     
  1.45                  0.027638755881003355    0.7025                 0.0      0.0035683986851541005   0.6775                 0.0      8.492190426061211E-4     0.7025                 0.0     
  1.46                  0.027684438614345427    0.7070000000000001     0.0      0.0036115115146524586   0.682                  0.0      8.661976610772248E-4     0.7070000000000001     0.0     
  1.47                  0.027729049505278106    0.7115                 0.0      0.003654584218053928    0.6865                 0.0      8.832982331603478E-4     0.7115                 0.0     
  1.48                  0.02777259713570495     0.7160000000000001     0.0      0.003697610212779904    0.6910000000000001     0.0      9.005174812999625E-4     0.7160000000000001     0.0     
  1.49                  0.02781509001057248     0.7205                 0.0      0.00374058296391747     0.6955                 0.0      9.178520803137961E-4     0.7205                 0.0     
  1.5                   0.02785653655911707     0.7250000000000001     0.0      0.003783495985307214    0.7000000000000001     0.0      9.352986590390658E-4     0.7250000000000001     0.0     
  1.51                  0.02789694513608009     0.7295                 0.0      0.0038263428405985833   0.7045                 0.0      9.528538019861158E-4     0.7295                 0.0     
  1.52                  0.027936324022892436    0.7340000000000001     0.0      0.0038691171442733065   0.7090000000000001     0.0      9.705140509984271E-4     0.7340000000000001     0.0     
  1.53                  0.027974681428829397    0.7385                 0.0      0.0039118125626372464   0.7135                 0.0      9.882759069179303E-4     0.7385                 0.0     
  1.54                  0.02801202549213684     0.7430000000000001     0.0      0.003954422814781134    0.7180000000000001     0.0      0.001006135831254613     0.7430000000000001     0.0     
  1.55                  0.028048364281129733    0.7475                 0.0      0.003996941673510633    0.7225                 0.0      0.0010240902478594167    0.7475                 0.0     
  1.56                  0.028083705795263612    0.7520000000000001     0.0      0.004039362966246059    0.7270000000000001     0.0      0.0010421355445994122    0.7520000000000001     0.0     
  1.57                  0.028118057966180214    0.7565000000000001     0.0      0.004081680575892298    0.7315                 0.0      0.0010602680750343223    0.7565000000000001     0.0     
  1.58                  0.028151428658727762    0.7610000000000001     0.0      0.004123888441679219    0.7360000000000001     0.0      0.0010784841600934094    0.7610000000000001     0.0     
  1.59                  0.028183825671956902    0.7655000000000001     0.0      0.004165980559973067    0.7405                 0.0      0.0010967800897518148    0.7655000000000001     0.0     
  1.6                   0.028215256740092995    0.7700000000000001     0.0      0.004207950985059224    0.7450000000000001     0.0      0.0011151521247054486    0.7700000000000001     0.0     
  1.61                  0.028245729533485402    0.7745000000000001     0.0      0.004249793829896711    0.7495                 0.0      0.0011335964980435096    0.7745000000000001     0.0     
  1.62                  0.028275251659534643    0.7790000000000001     0.0      0.00429150326684489     0.7540000000000001     0.0      0.0011521094169178031    0.7790000000000001     0.0     
